dn = C a^(-3.5) ; amin = 0.005 microns ; amax = 0.25 microns
  Z     C_graphites C_silicates
0.0025    9.45e-7     5.10e-5 : Small Magellanic Cloud
0.0067    6.10e-6     3.41e-5 : Large Magellanic Cloud
0.02      1.23e-5     1.68e-5 : Milky Way
lambda         graphites           silicates
241         tau     alb  asym   tau     alb  asym
.1000E+02 .3845E+04 0.66 1.00 .6551E+04 0.48 1.00
.1059E+02 .4385E+04 0.65 1.00 .7418E+04 0.47 1.00
.1122E+02 .4976E+04 0.64 1.00 .8200E+04 0.45 1.00
.1189E+02 .5672E+04 0.63 1.00 .9095E+04 0.44 1.00
.1259E+02 .6381E+04 0.61 1.00 .9878E+04 0.42 1.00
.1334E+02 .7228E+04 0.60 1.00 .1079E+05 0.40 1.00
.1413E+02 .8100E+04 0.59 1.00 .1154E+05 0.37 1.00
.1496E+02 .9139E+04 0.57 1.00 .1162E+05 0.36 1.00
.1585E+02 .1026E+05 0.56 1.00 .1255E+05 0.34 1.00
.1679E+02 .1152E+05 0.55 1.00 .8725E+04 0.36 1.00
.1778E+02 .1289E+05 0.53 1.00 .1107E+05 0.44 1.00
.1884E+02 .1438E+05 0.52 1.00 .1239E+05 0.44 1.00
.1995E+02 .1596E+05 0.50 1.00 .1354E+05 0.43 1.00
.2113E+02 .1765E+05 0.49 1.00 .1439E+05 0.41 1.00
.2239E+02 .1944E+05 0.47 1.00 .1490E+05 0.37 1.00
.2371E+02 .2129E+05 0.46 1.00 .9407E+04 0.52 1.00
.2512E+02 .2322E+05 0.44 1.00 .1278E+05 0.60 1.00
.2661E+02 .2521E+05 0.42 1.00 .1468E+05 0.61 1.00
.2818E+02 .2719E+05 0.40 1.00 .1640E+05 0.61 1.00
.2985E+02 .2915E+05 0.38 1.00 .1807E+05 0.60 1.00
.3162E+02 .3102E+05 0.37 1.00 .1964E+05 0.60 1.00
.3350E+02 .3287E+05 0.34 1.00 .2125E+05 0.59 1.00
.3548E+02 .3460E+05 0.32 1.00 .2286E+05 0.58 1.00
.3758E+02 .3615E+05 0.30 1.00 .2447E+05 0.57 1.00
.3981E+02 .3775E+05 0.28 1.00 .2606E+05 0.56 1.00
.4217E+02 .3747E+05 0.22 1.00 .2763E+05 0.55 1.00
.4467E+02 .6105E+04 0.60 1.00 .2918E+05 0.54 1.00
.4732E+02 .6583E+04 0.58 1.00 .3072E+05 0.52 1.00
.5012E+02 .1253E+05 0.75 1.00 .3224E+05 0.51 1.00
.5309E+02 .1577E+05 0.77 1.00 .3374E+05 0.50 1.00
.5623E+02 .1929E+05 0.79 1.00 .3523E+05 0.49 1.00
.5957E+02 .2264E+05 0.79 1.00 .3670E+05 0.47 1.00
.6310E+02 .2576E+05 0.79 1.00 .3809E+05 0.46 1.00
.6683E+02 .2883E+05 0.79 1.00 .3944E+05 0.45 1.00
.7079E+02 .3181E+05 0.79 1.00 .4065E+05 0.44 1.00
.7499E+02 .3469E+05 0.78 1.00 .4077E+05 0.44 1.00
.7943E+02 .3753E+05 0.77 1.00 .4255E+05 0.43 0.99
.8414E+02 .4026E+05 0.76 1.00 .4398E+05 0.42 0.99
.8913E+02 .4291E+05 0.75 1.00 .4527E+05 0.41 0.99
.9441E+02 .4548E+05 0.74 1.00 .4638E+05 0.40 0.99
.1000E+03 .4797E+05 0.73 0.99 .4713E+05 0.39 0.99
.1059E+03 .5042E+05 0.72 0.99 .4635E+05 0.35 0.99
.1122E+03 .5286E+05 0.70 0.99 .4516E+05 0.40 0.99
.1189E+03 .5530E+05 0.69 0.99 .4714E+05 0.40 0.99
.1259E+03 .5768E+05 0.67 0.99 .4819E+05 0.39 0.99
.1334E+03 .6009E+05 0.66 0.99 .4853E+05 0.39 0.98
.1413E+03 .6251E+05 0.65 0.98 .4952E+05 0.40 0.98
.1496E+03 .6494E+05 0.63 0.98 .5086E+05 0.40 0.98
.1585E+03 .6739E+05 0.62 0.98 .5205E+05 0.40 0.98
.1679E+03 .6981E+05 0.61 0.97 .5318E+05 0.39 0.97
.1778E+03 .7225E+05 0.59 0.97 .5422E+05 0.39 0.97
.1884E+03 .7470E+05 0.58 0.97 .5493E+05 0.38 0.97
.1995E+03 .7717E+05 0.57 0.96 .5466E+05 0.39 0.96
.2113E+03 .7961E+05 0.56 0.95 .5613E+05 0.39 0.96
.2239E+03 .8209E+05 0.55 0.95 .5734E+05 0.39 0.95
.2371E+03 .8462E+05 0.54 0.94 .5832E+05 0.39 0.95
.2512E+03 .8721E+05 0.53 0.93 .5999E+05 0.39 0.94
.2661E+03 .8987E+05 0.52 0.92 .6151E+05 0.39 0.93
.2818E+03 .9255E+05 0.51 0.91 .6292E+05 0.38 0.92
.2985E+03 .9536E+05 0.50 0.90 .6431E+05 0.38 0.92
.3162E+03 .9820E+05 0.49 0.88 .6561E+05 0.38 0.91
.3350E+03 .1010E+06 0.47 0.87 .6690E+05 0.37 0.90
.3548E+03 .1037E+06 0.46 0.86 .6812E+05 0.37 0.89
.3758E+03 .1017E+06 0.45 0.85 .6931E+05 0.37 0.88
.3981E+03 .1029E+06 0.48 0.83 .7049E+05 0.36 0.87
.4217E+03 .1075E+06 0.50 0.80 .7167E+05 0.36 0.86
.4467E+03 .1151E+06 0.50 0.77 .7288E+05 0.36 0.85
.4732E+03 .1224E+06 0.49 0.74 .7418E+05 0.36 0.83
.5012E+03 .1304E+06 0.48 0.71 .7571E+05 0.37 0.82
.5309E+03 .1397E+06 0.47 0.68 .7769E+05 0.38 0.80
.5623E+03 .1524E+06 0.45 0.65 .8057E+05 0.39 0.77
.5957E+03 .1639E+06 0.43 0.63 .8995E+05 0.43 0.70
.6310E+03 .1751E+06 0.42 0.61 .1114E+06 0.40 0.65
.6683E+03 .1978E+06 0.42 0.57 .1256E+06 0.37 0.63
.7079E+03 .2266E+06 0.39 0.54 .1322E+06 0.35 0.62
.7499E+03 .2420E+06 0.38 0.53 .1347E+06 0.34 0.62
.7943E+03 .2417E+06 0.38 0.51 .1324E+06 0.33 0.62
.8414E+03 .2294E+06 0.38 0.51 .1276E+06 0.33 0.62
.8913E+03 .2202E+06 0.37 0.52 .1244E+06 0.33 0.62
.9441E+03 .2190E+06 0.39 0.50 .1248E+06 0.34 0.60
.1000E+04 .2017E+06 0.41 0.50 .1211E+06 0.34 0.60
.1059E+04 .1829E+06 0.43 0.51 .1153E+06 0.36 0.59
.1122E+04 .1590E+06 0.45 0.55 .1076E+06 0.36 0.61
.1189E+04 .1421E+06 0.45 0.59 .1037E+06 0.37 0.60
.1259E+04 .1264E+06 0.47 0.62 .9746E+05 0.38 0.61
.1334E+04 .1113E+06 0.47 0.65 .9408E+05 0.38 0.61
.1413E+04 .9832E+05 0.44 0.67 .9369E+05 0.37 0.59
.1496E+04 .8871E+05 0.40 0.68 .9033E+05 0.44 0.56
.1585E+04 .8531E+05 0.35 0.68 .8036E+05 0.52 0.57
.1679E+04 .8866E+05 0.31 0.67 .7360E+05 0.57 0.57
.1778E+04 .9913E+05 0.31 0.64 .6808E+05 0.63 0.56
