Evolutionary tracks: tracksZ0.004.dat                                                        
grid type                  : truncated                     
Metallicity (mass fraction): .0040
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Salpeter.dat from   0.1000 to 120.0000 solar masses
  516  2690   532  1070     4     5 0.3412E-01
    0   175  0.12000E+03 0.58541E+03 0.75653E+13 0.28285E+13 0.41924E+08
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -1 .311929E+03  333 .600943E+00  529 .204498E-03  531 .301944E-01  539 .258280E-02
 548 .223477E-03  549 .247676E-02  558 .612325E-03  559 .126134E-02  568 .720326E-03
 569 .825696E-03  578 .649583E-03  579 .610228E-03  588 .755539E-03  589 .581595E-03
 598 .916356E-03  599 .592596E-03  608 .113723E-02  609 .623355E-03  617 .162156E-02
 618 .726645E-03  626 .222070E-02  627 .750198E-03  635 .329328E-02  636 .706140E-03
 644 .463286E-02  645 .437560E-03  652 .663308E-04  653 .568497E-02  654 .853596E-04
 660 .438780E-03  661 .572466E-02  666 .895899E-03  667 .578729E-02  672 .111131E-02
 673 .556899E-02  676 .125939E-02  677 .574377E-02  681 .117489E-02  682 .572677E-02
 685 .110954E-02  686 .615413E-02  689 .109665E-02  690 .695290E-02  693 .127871E-02
 694 .920763E-02  697 .105357E-02  698 .871331E-02  701 .906157E-03  702 .880205E-02
 705 .882712E-03  706 .601870E-01  709 .796612E-03  712 .686270E-03  715 .815110E-03
 718 .698948E-03  721 .349446E-03  724 .956179E-01  727 .389758E-01  728 .646113E+01
 729 .454310E+01  730 .249680E+01  731 .250710E+02  735 .257955E-03  740 .578540E-03
 745 .797348E-03  753 .160038E-05  754 .227158E-02  762 .338056E-03  763 .374662E-02
 770 .926269E-03  771 .190804E-02  780 .108964E-02  781 .124904E-02  790 .982631E-03
 791 .923098E-03  800 .114291E-02  801 .879784E-03  810 .138618E-02  811 .896426E-03
 820 .172029E-02  821 .942955E-03  830 .245296E-02  831 .109920E-02  840 .335927E-02
 841 .113483E-02  849 .498178E-02  850 .106818E-02  859 .700816E-02  860 .661901E-03
 868 .100339E-03  869 .859970E-02  870 .129124E-03  878 .663747E-03  879 .865975E-02
 880 .369863E-11  888 .135524E-02  889 .875449E-02  898 .168108E-02  899 .842426E-02
 908 .190509E-02  909 .868865E-02  915 .177727E-02  916 .866294E-02  923 .167841E-02
 924 .930941E-02  931 .146928E-02  932 .924502E-02  939 .123017E-02  944 .140240E-02
 945 .116998E-01  950 .137075E-02  951 .133149E-01  955 .133529E-02  956 .153903E-01
 960 .120504E-02  961 .165258E-01  965 .103813E-02  966 .173484E-01  970 .123302E-02
 971 .283002E-01  975 .105731E-02  976 .429796E-01  980 .529225E-03  981 .561544E-01
 984 .370851E-03  985 .723652E-01  989 .374474E-03  990 .931109E-01  994 .291776E-03
 995 .991266E-01  998 .916578E-03  999 .196250E+00 1003 .351301E-02 1007 .852008E-02
1011 .173219E-01 1018 .145863E+00 1022 .296308E-01 1025 .311504E+00 1028 .790109E+00
1031 .909747E-01 1034 .925312E-01 1037 .145297E+00 1040 .228388E+00 1041 .114944E+01
1044 .293315E+00 1045 .133867E+01 1047 .370289E+00 1048 .153296E+01 1050 .442509E+00
1051 .167089E+01 1053 .523019E+00 1054 .181289E+01 1056 .620197E+00 1057 .198880E+01
1059 .718372E+00 1060 .214372E+01 1061 .850572E+00 1062 .237063E+01 1063 .990688E+00
1064 .258985E+01 1065 .114334E+01 1066 .281384E+01 1067 .246362E+01 1068 .555761E+01
1069 .156437E+02 1070 .177301E+03 1285 .886177E-02 1389 .123676E+01 1396 .811914E+00
1736 .272249E+00 1741 .327411E+00 1768 .584250E+00 2118 .109331E+01 2122 .633938E+00
    1   175  0.12000E+03 0.64836E+03 0.76399E+13 0.24746E+13 0.33936E+08
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
