Evolutionary tracks: tracksZ0.02.dat                                                         
grid type                  : truncated                     
Metallicity (mass fraction): .0200
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Salpeter.dat from   0.1000 to 120.0000 solar masses
  516  2690  1430  2165     7     8 0.2794E-01
    0   226  0.12000E+03 0.64595E+03 0.66442E+13 0.14886E+13 0.15595E+08
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -1 .116024E+03 1072 .245965E-03 1122 .764981E-03 1375 .396730E+00 1389 .129945E+01
1438 .985333E-03 1443 .198728E-02 1449 .846316E-04 1450 .342468E-02 1459 .111306E-02
1460 .424304E-02 1470 .189896E-02 1471 .228141E-02 1480 .134169E-02 1481 .926358E-03
1491 .140881E-02 1501 .222079E-02 1502 .929064E-03 1512 .285747E-02 1513 .922933E-03
1522 .347784E-02 1523 .879529E-03 1532 .485419E-02 1533 .898244E-03 1542 .703431E-02
1543 .752249E-03 1551 .596503E-04 1552 .987283E-02 1553 .281640E-03 1560 .785506E-03
1561 .914593E-02 1562 .232301E-05 1570 .267912E-02 1571 .114252E-01 1579 .536388E-02
1580 .139425E-01 1589 .787725E-02 1590 .145027E-01 1598 .935422E-02 1599 .141387E-01
1608 .914389E-02 1609 .127130E-01 1618 .942905E-02 1619 .129557E-01 1627 .103290E-01
1628 .143974E-01 1636 .105711E-01 1637 .151239E-01 1645 .108913E-01 1646 .160505E-01
1653 .132796E-01 1654 .199544E-01 1661 .145218E-01 1662 .219433E-01 1669 .154835E-01
1670 .234169E-01 1676 .173301E-01 1677 .261611E-01 1683 .183416E-01 1684 .276025E-01
1690 .194083E-01 1691 .291390E-01 1697 .318999E-01 1698 .479833E-01 1704 .474133E-01
1705 .715407E-01 1710 .582101E-01 1711 .872944E-01 1715 .660165E-01 1716 .975828E-01
1720 .743757E-01 1721 .108333E+00 1725 .868164E-01 1726 .124284E+00 1730 .148907E+00
1731 .207884E+00 1735 .239008E+00 1736 .323963E+00 1740 .299901E+00 1741 .710326E+00
1745 .819502E+00 1748 .816426E+00 1755 .103724E+01 1758 .159471E+01 1761 .180522E+01
1764 .962989E+00 1767 .118788E+01 1768 .116105E+01 1771 .146420E+01 1772 .137687E+01
1775 .170946E+01 1776 .154358E+01 1779 .189088E+01 1780 .164078E+01 1782 .215371E+01
1783 .179806E+01 1785 .254161E+01 1786 .204419E+01 1788 .285736E+01 1789 .221531E+01
1791 .318280E+01 1792 .238097E+01 1794 .385616E+01 1795 .278186E+01 1796 .452442E+01
1797 .314777E+01 1798 .474382E+01 1799 .318572E+01 1800 .520338E+01 1801 .337321E+01
1802 .126724E+02 1803 .761098E+01 1804 .341697E+02 1805 .400323E+03 1810 .140288E-03
1813 .105670E-03 1817 .643038E-10 1821 .273849E-11 1822 .110815E-09 1832 .360161E-10
1833 .137295E-09 1842 .614462E-10 1843 .738214E-10 1853 .795193E-04 1854 .484769E-04
1864 .322453E-03 1865 .176747E-03 1874 .927681E-04 1875 .449953E-04 1884 .924612E-10
1885 .298640E-10 1894 .112535E-09 1895 .284596E-10 1904 .157071E-09 1905 .290651E-10
