Evolutionary tracks: tracksZ0.1.dat                                                          
grid type                  : truncated                     
Metallicity (mass fraction): .1000
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Salpeter.dat from   0.1000 to 120.0000 solar masses
  516  2690  2166  2690     9    10 0.1784E-01
    0   181  0.12000E+03 0.83832E+03 0.74547E+13 0.79978E+12 0.98491E+03
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
1389 .436811E+00 1764 .855803E+00 1802 .318644E+02 1806 .177601E-03 1810 .793507E-03
2134 .126983E+01 2135 .243400E+00 2137 .159410E+01 2138 .283573E+00 2140 .196821E+01
2161 .147703E+02 2165 .593392E+03 2171 .345465E-04 2172 .154881E-02 2175 .601544E-03
2176 .274143E-02 2180 .194526E-03 2181 .362464E-03 2191 .165639E-03 2192 .172099E-03
2201 .318323E-03 2202 .232453E-03 2210 .486467E-03 2211 .238382E-03 2220 .130160E-02
2221 .401303E-03 2230 .239684E-02 2231 .511771E-03 2239 .912737E-07 2240 .371527E-02
2241 .381247E-03 2249 .219328E-03 2250 .578149E-02 2251 .754786E-04 2259 .162778E-02
2260 .745044E-02 2269 .471282E-02 2270 .830913E-02 2279 .962332E-02 2280 .791470E-02
2289 .143867E-01 2290 .590519E-02 2299 .163904E-01 2300 .376484E-02 2309 .185014E-01
2310 .255326E-02 2319 .197791E-01 2320 .162064E-02 2329 .197123E-01 2330 .119543E-02
2338 .221265E-01 2339 .108725E-02 2347 .246400E-01 2348 .945411E-03 2356 .273369E-01
2357 .766915E-03 2365 .259044E-01 2366 .537446E-03 2374 .176260E-01 2375 .611083E-03
2381 .183382E-01 2382 .109646E-02 2388 .188116E-01 2389 .160179E-02 2396 .190911E-01
2397 .212019E-02 2403 .201970E-01 2404 .277555E-02 2410 .205167E-01 2411 .337221E-02
2417 .206000E-01 2418 .395084E-02 2424 .320159E-01 2425 .732344E-02 2431 .443514E-01
2432 .122668E-01 2436 .600912E-01 2437 .201241E-01 2441 .966696E-01 2442 .330896E-01
2446 .109748E+00 2447 .363937E-01 2451 .125134E+00 2452 .402160E-01 2456 .222639E+00
2457 .684665E-01 2461 .359636E+00 2462 .104607E+00 2466 .441312E+00 2467 .120367E+00
2470 .554475E+00 2471 .391364E+00 2474 .804626E+00 2477 .745623E+00 2479 .829328E+00
2482 .108173E+01 2484 .135695E+01 2486 .322044E+00 2487 .278310E+01 2488 .418586E+00
2489 .362438E+01 2490 .501812E+00 2491 .584330E+01 2492 .740980E+00 2493 .706768E+01
2494 .823298E+00 2495 .834268E+01 2496 .882028E+00 2497 .974407E+01 2498 .925534E+00
2499 .109357E+02 2500 .920256E+00 2501 .128762E+02 2502 .937921E+00 2503 .890532E+00
2504 .124869E+01 2505 .923538E+02 2507 .428986E-02 2511 .364037E-03 2516 .479092E-03
2521 .112554E-02 2526 .192246E-02 2530 .603277E-07 2531 .270761E-02 2536 .144966E-03
2537 .382130E-02 2538 .498879E-04 2543 .107589E-02 2544 .492440E-02 2549 .311496E-02
2550 .549195E-02 2555 .636057E-02 2556 .523125E-02 2561 .950891E-02 2562 .390306E-02
2567 .108333E-01 2568 .248838E-02 2573 .122286E-01 2574 .168759E-02 2579 .130731E-01
2580 .107117E-02 2585 .130289E-01 2586 .790127E-03 2591 .146246E-01 2592 .718625E-03
2597 .162859E-01 2598 .624873E-03 2602 .180684E-01 2603 .506896E-03 2607 .171216E-01
2608 .355227E-03 2612 .116500E-01 2613 .403898E-03 2617 .121207E-01 2618 .724708E-03
2622 .124336E-01 2623 .101125E-01 2627 .126183E-01 2631 .133493E-01 2635 .135606E-01
2639 .136157E-01 2643 .211611E-01 2646 .293143E-01 2649 .397175E-01 2650 .252716E-01
2653 .638941E-01 2654 .218707E-01 2657 .725382E-01 2658 .240545E-01 2661 .827075E-01
2662 .265809E-01 2665 .192407E+00 2668 .306843E+00 2671 .371244E+00 2674 .461348E+00
2677 .566977E+00 2680 .761172E+00 2683 .958245E+00 2686 .103241E+01 2688 .123949E+01
2690 .147690E+02
    1   179  0.12000E+03 0.87394E+03 0.60597E+13 0.32354E+12 0.23294E+03
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
1389 .396562E+00 1764 .931091E+00 1793 .755433E+00 1802 .231052E+03 1806 .177601E-03
1810 .793507E-03 2134 .134710E+01 2135 .190096E+00 2137 .167684E+01 2138 .209901E+00
2140 .206811E+01 2146 .133302E-02 2149 .124888E+00 2152 .392625E+00 2161 .216589E+02
2165 .427732E+02 2171 .345465E-04 2172 .154881E-02 2175 .601543E-03 2176 .274143E-02
2180 .194523E-03 2181 .362460E-03 2191 .165631E-03 2192 .172093E-03 2201 .318306E-03
2202 .232445E-03 2210 .486436E-03 2211 .238375E-03 2220 .130114E-02 2221 .401182E-03
2230 .239604E-02 2231 .511682E-03 2239 .877026E-07 2240 .371201E-02 2241 .381263E-03
2249 .218116E-03 2250 .577496E-02 2251 .756724E-04 2259 .161752E-02 2260 .743313E-02
2269 .465555E-02 2270 .826623E-02 2279 .943691E-02 2280 .787048E-02 2289 .127842E-01
2290 .556687E-02 2299 .153124E-01 2300 .396068E-02 2309 .164060E-01 2310 .282602E-02
2319 .187258E-01 2320 .219153E-02 2329 .174611E-01 2330 .162451E-02 2338 .190765E-01
