Evolutionary tracks: tracksZ0.008.dat                                                        
grid type                  : standard                      
Metallicity (mass fraction): .0080
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Salpeter.dat from   0.1000 to 120.0000 solar masses
  516  4422  1766  2674     5     6 0.3723E-01
    0   251  0.12000E+03 0.59736E+03 0.75014E+13 0.21007E+13 0.73812E+07
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -1 .504858E+02 1779 .734162E-05 1786 .148902E-04 1792 .193778E-03 1793 .207322E-03
1802 .356912E-03 1803 .217392E-03 1810 .835837E-03 1811 .248890E-03 1821 .867159E-04
1822 .224847E-02 1832 .624324E-03 1833 .220518E-02 1843 .938924E-03 1844 .114405E-02
1854 .773469E-03 1855 .662772E-03 1865 .915946E-03 1866 .600140E-03 1876 .108028E-02
1877 .579403E-03 1887 .132880E-02 1888 .602507E-03 1898 .183243E-02 1899 .673783E-03
1909 .248103E-02 1910 .685529E-03 1920 .333931E-02 1921 .619287E-03 1931 .494623E-02
1932 .443344E-03 1940 .169795E-03 1941 .730305E-02 1942 .966358E-04 1950 .939229E-03
1951 .754879E-02 1960 .138326E-02 1961 .541122E-02 1970 .214369E-02 1971 .583925E-02
1980 .263692E-02 1981 .649036E-02 1990 .272374E-02 1991 .665436E-02 1999 .267172E-02
2000 .691256E-02 2008 .271854E-02 2009 .753635E-02 2017 .275201E-02 2018 .817784E-02
2026 .288043E-02 2027 .926798E-02 2034 .278899E-02 2035 .999900E-02 2042 .289693E-02
2043 .114605E-01 2049 .314286E-02 2050 .130432E-01 2056 .317283E-02 2057 .137263E-01
2063 .319922E-02 2064 .144266E-01 2070 .512489E-02 2071 .243724E-01 2077 .820939E-02
2078 .401330E-01 2083 .954387E-02 2084 .469046E-01 2089 .105708E-01 2090 .521619E-01
2095 .122738E-01 2096 .604236E-01 2101 .145281E-01 2102 .700647E-01 2107 .254877E-01
2108 .118923E+00 2114 .438147E-01 2115 .192888E+00 2120 .561086E-01 2121 .229072E+00
2126 .719222E-01 2127 .274310E+00 2132 .916094E-01 2133 .329978E+00 2138 .114098E+00
2139 .388535E+00 2144 .139905E+00 2145 .442664E+00 2149 .169109E+00 2150 .496237E+00
2154 .205397E+00 2155 .566344E+00 2159 .252694E+00 2160 .656815E+00 2164 .297726E+00
2165 .729656E+00 2169 .342704E+00 2170 .793757E+00 2174 .417132E+00 2175 .913973E+00
2179 .486374E+00 2180 .100466E+01 2183 .563232E+00 2184 .109802E+01 2187 .646980E+00
2188 .119429E+01 2191 .775371E+00 2192 .135955E+01 2195 .888369E+00 2196 .148830E+01
2199 .994827E+00 2200 .159436E+01 2202 .121906E+01 2203 .186827E+01 2205 .132683E+01
2206 .194626E+01 2208 .145504E+01 2209 .204385E+01 2211 .322435E+01 2212 .424623E+01
2214 .135935E+02 2216 .164234E+02 2218 .222606E+02 2219 .299895E+02 2220 .371679E+02
2221 .110086E+03 2232 .764730E-05 2239 .155101E-04 2245 .201847E-03 2246 .215955E-03
2255 .371773E-03 2256 .226444E-03 2263 .870639E-03 2264 .259253E-03 2274 .903265E-04
2275 .234209E-02 2285 .650319E-03 2286 .229700E-02 2296 .978018E-03 2297 .119168E-02
2307 .805674E-03 2308 .690368E-03 2318 .954083E-03 2319 .625128E-03 2329 .112526E-02
2330 .603527E-03 2340 .138412E-02 2341 .627594E-03 2351 .190873E-02 2352 .701837E-03
2362 .258433E-02 2363 .714072E-03 2373 .347834E-02 2374 .645072E-03 2384 .515217E-02
2385 .461804E-03 2393 .176865E-03 2394 .760713E-02 2395 .100659E-03 2403 .978336E-03
2404 .786309E-02 2413 .144086E-02 2414 .563653E-02 2423 .223295E-02 2424 .608238E-02
2433 .274671E-02 2434 .676059E-02 2443 .283715E-02 2444 .693143E-02 2452 .278296E-02
2453 .720038E-02 2461 .283173E-02 2462 .785014E-02 2470 .286660E-02 2471 .851834E-02
2479 .300036E-02 2480 .965387E-02 2487 .290512E-02 2488 .104153E-01 2495 .301755E-02
2496 .119376E-01 2502 .327372E-02 2503 .135863E-01 2509 .330494E-02 2510 .142978E-01
2516 .333243E-02 2517 .150273E-01 2523 .533828E-02 2524 .253872E-01 2530 .855121E-02
2531 .418040E-01 2536 .994125E-02 2537 .488575E-01 2542 .110109E-01 2543 .543337E-01
2548 .127848E-01 2549 .629395E-01 2554 .151330E-01 2555 .729820E-01 2560 .265489E-01
2561 .123874E+00 2567 .456390E-01 2568 .200919E+00 2573 .584447E-01 2574 .238610E+00
2579 .749168E-01 2580 .285732E+00 2585 .954237E-01 2586 .343717E+00 2591 .118848E+00
2592 .404713E+00 2597 .145730E+00 2598 .461095E+00 2602 .176150E+00 2603 .516899E+00
2607 .213949E+00 2608 .589925E+00 2612 .263215E+00 2613 .684162E+00 2617 .310122E+00
2618 .760037E+00 2622 .356973E+00 2623 .826807E+00 2627 .434500E+00 2628 .952028E+00
2632 .506625E+00 2633 .104649E+01 2636 .586683E+00 2637 .114374E+01 2640 .673918E+00
2641 .124401E+01 2644 .807656E+00 2645 .141615E+01 2648 .925358E+00 2649 .155027E+01
2652 .103625E+01 2653 .166075E+01 2655 .126982E+01 2656 .194606E+01 2658 .138207E+01
2659 .202730E+01 2661 .151562E+01 2662 .212895E+01 2664 .335860E+01 2665 .442303E+01
2667 .141595E+02 2669 .171072E+02 2671 .231875E+02 2672 .312382E+02 2673 .387155E+02
2674 .114670E+03
    1   250  0.12000E+03 0.65888E+03 0.76328E+13 0.17745E+13 0.25591E+06
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
1779 .734162E-05 1786 .148902E-04 1792 .193778E-03 1793 .207322E-03 1802 .356912E-03
1803 .217392E-03 1810 .835837E-03 1811 .248890E-03 1821 .867159E-04 1822 .224847E-02
1832 .624323E-03 1833 .220518E-02 1843 .938929E-03 1844 .114404E-02 1854 .773479E-03
1855 .662756E-03 1865 .915962E-03 1866 .600122E-03 1876 .108033E-02 1877 .579390E-03
1887 .132885E-02 1888 .602477E-03 1898 .183246E-02 1899 .673717E-03 1909 .248105E-02
1910 .685428E-03 1920 .333935E-02 1921 .619120E-03 1931 .494595E-02 1932 .442990E-03
1940 .169994E-03 1941 .730051E-02 1942 .963647E-04 1950 .940727E-03 1951 .755152E-02
1960 .138432E-02 1961 .541197E-02 1970 .214550E-02 1971 .584105E-02 1980 .263967E-02
1981 .649245E-02 1990 .272633E-02 1991 .665550E-02 1999 .267410E-02 2000 .691273E-02
2008 .272075E-02 2009 .753495E-02 2017 .275408E-02 2018 .817397E-02 2026 .288475E-02
2027 .926789E-02 2034 .279513E-02 2035 .100023E-01 2042 .290492E-02 2043 .114657E-01
2049 .315326E-02 2050 .130506E-01 2056 .318458E-02 2057 .137334E-01 2063 .321377E-02
2064 .144398E-01 2070 .514941E-02 2071 .243838E-01 2077 .826010E-02 2078 .401570E-01
2083 .961765E-02 2084 .469278E-01 2089 .106711E-01 2090 .521955E-01 2095 .124217E-01
2096 .605052E-01 2101 .147389E-01 2102 .701694E-01 2107 .259611E-01 2108 .119189E+00
2114 .448608E-01 2115 .193280E+00 2120 .577858E-01 2121 .229431E+00 2126 .747232E-01
2127 .275335E+00 2132 .958592E-01 2133 .330607E+00 2138 .120566E+00 2139 .389394E+00
2144 .149421E+00 2145 .443711E+00 2149 .182958E+00 2150 .498419E+00 2154 .224969E+00
2155 .567964E+00 2159 .282994E+00 2160 .662196E+00 2164 .339138E+00 2165 .734302E+00
2169 .397461E+00 2170 .798928E+00 2174 .497623E+00 2175 .926493E+00 2179 .588690E+00
2180 .100727E+01 2183 .694437E+00 2184 .109456E+01 2187 .825231E+00 2188 .120221E+01
2191 .102468E+01 2192 .137468E+01 2195 .119060E+01 2196 .147031E+01 2199 .141113E+01
2200 .160284E+01 2202 .184429E+01 2203 .190897E+01 2205 .203981E+01 2206 .192041E+01
