Evolutionary tracks: tracksZ0.05.dat                                                         
grid type                  : standard                      
Metallicity (mass fraction): .0500
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Salpeter.dat from   0.1000 to 120.0000 solar masses
  516  4422  3142  4047     8     9 0.1959E-01
    0   249  0.12000E+03 0.74588E+03 0.71917E+13 0.93453E+12 0.68072E+04
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
3155 .135120E-04 3156 .697622E-04 3165 .259846E-03 3171 .631997E-03 3172 .286611E-03
3180 .782061E-04 3181 .178411E-02 3182 .103352E-03 3189 .524876E-03 3190 .182315E-02
3191 .290911E-06 3201 .429729E-03 3202 .563432E-03 3212 .657501E-03 3213 .467903E-03
3223 .843486E-03 3224 .422615E-03 3234 .106091E-02 3235 .409178E-03 3245 .138570E-02
3246 .412543E-03 3256 .180326E-02 3257 .400378E-03 3267 .202368E-02 3268 .307876E-03
3278 .241329E-02 3279 .170061E-03 3288 .111380E-03 3289 .414620E-02 3290 .353991E-04
3299 .771960E-03 3300 .560804E-02 3310 .199876E-02 3311 .646096E-02 3320 .383126E-02
3321 .714403E-02 3330 .579875E-02 3331 .736201E-02 3340 .750162E-02 3341 .701899E-02
3350 .849299E-02 3351 .636098E-02 3360 .881249E-02 3361 .588757E-02 3369 .940928E-02
3370 .601849E-02 3378 .991877E-02 3379 .624744E-02 3387 .104982E-01 3388 .659352E-02
3396 .113776E-01 3397 .708391E-02 3405 .133790E-01 3406 .823463E-02 3413 .145969E-01
3414 .889232E-02 3421 .155869E-01 3422 .940029E-02 3428 .173106E-01 3429 .103380E-01
3435 .183995E-01 3436 .108839E-01 3442 .194733E-01 3443 .114122E-01 3449 .323296E-01
3450 .187140E-01 3456 .481610E-01 3457 .274533E-01 3462 .559995E-01 3463 .313542E-01
3468 .651998E-01 3469 .359045E-01 3474 .737628E-01 3475 .400223E-01 3480 .834051E-01
3481 .446204E-01 3486 .141961E+00 3487 .745708E-01 3492 .230757E+00 3493 .118173E+00
3498 .284556E+00 3499 .140250E+00 3504 .342655E+00 3505 .162417E+00 3510 .418259E+00
3511 .190446E+00 3516 .508503E+00 3517 .222167E+00 3521 .608714E+00 3522 .254297E+00
3526 .711647E+00 3527 .283761E+00 3531 .844255E+00 3532 .322059E+00 3536 .988604E+00
