Evolutionary tracks: tracksZ0.0004.dat                                                                                                                                                                                                                                                                       
grid type                  : standard                      
Metallicity (mass fraction): .0004
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Salpeter.dat from   0.1000 to 120.0000 solar masses
  516  4422   427   855     2     3 0.2793E-01
    0   240  0.12000E+03 0.58254E+03 0.81304E+13 0.31435E+13 0.28986E+08
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -1 .210736E+03  450 .262823E-05  451 .657914E-05  453 .731084E-04  454 .151137E-03
 465 .510534E-03  476 .148787E-02  486 .429388E-04  487 .342397E-02  497 .309170E-03
 498 .222299E-02  508 .642624E-03  509 .133406E-02  519 .708413E-03  520 .122411E-02
 530 .545917E-03  531 .855490E-03  541 .668851E-03  542 .864622E-03  552 .942098E-03
 553 .999517E-03  563 .126962E-02  564 .107678E-02  574 .189987E-02  575 .122958E-02
 584 .283736E-02  585 .128872E-02  594 .355103E-02  595 .106053E-02  604 .442412E-02
 605 .814013E-03  614 .480785E-02  615 .579125E-03  624 .520013E-02  625 .445059E-03
 634 .475588E-02  635 .374291E-03  643 .504840E-02  644 .434445E-03  652 .496550E-02
 653 .483105E-03  660 .497416E-02  661 .589004E-03  668 .533426E-02  669 .751540E-03
 675 .579174E-02  676 .941201E-03  682 .602582E-02  683 .110030E-02  689 .657271E-02
 690 .133411E-02  696 .699435E-02  697 .155704E-02  703 .716683E-02  704 .173631E-02
 710 .113023E-01  711 .304524E-02  717 .158168E-01  718 .484126E-02  723 .169804E-01
 724 .609427E-02  729 .186872E-01  730 .768106E-02  735 .203555E-01  736 .920682E-02
 741 .231632E-01  742 .112250E-01  747 .407152E-01  748 .212183E-01  754 .620745E-01
 755 .345699E-01  760 .781332E-01  761 .462373E-01  766 .102627E+00  767 .601433E-01
 772 .135534E+00  773 .756353E-01  778 .174613E+00  779 .892151E-01  784 .210826E+00
 785 .978970E-01  789 .267913E+00  790 .110745E+00  794 .323940E+00  795 .116807E+00
 799 .385626E+00  800 .122675E+00  804 .441609E+00  805 .126816E+00  809 .501689E+00
 810 .130024E+00  814 .585864E+00  815 .136630E+00  819 .679512E+00  820 .139551E+00
 823 .782047E+00  824 .138525E+00  827 .894711E+00  828 .135090E+00  831 .104459E+01
 832 .131093E+00  834 .117772E+01  835 .119357E+00  837 .131826E+01  838 .103722E+00
 840 .151886E+01  841 .881044E-01  842 .160334E+01  843 .675581E-01  844 .174006E+01
 845 .490993E-01  846 .385477E+01  847 .335191E-01  848 .691048E+01  849 .237495E-02
 850 .877279E+01  852 .105530E+02  853 .133109E+02  854 .167425E+02  855 .711617E+02
 896 .398262E-05  897 .996953E-05  904 .110783E-03  905 .229022E-03  916 .773624E-03
 927 .225461E-02  937 .650662E-04  938 .518843E-02  948 .468493E-03  949 .336855E-02
 959 .973784E-03  960 .202154E-02  970 .107348E-02  971 .185493E-02  981 .827241E-03
 982 .129634E-02  992 .101353E-02  993 .131018E-02 1003 .142759E-02 1004 .151459E-02
1014 .192388E-02 1015 .163167E-02 1025 .287892E-02 1026 .186321E-02 1035 .429952E-02
1036 .195283E-02 1045 .538097E-02 1046 .160705E-02 1055 .670397E-02 1056 .123349E-02
1065 .728546E-02 1066 .877563E-03 1075 .787989E-02 1076 .674408E-03 1085 .720671E-02
1086 .567172E-03 1094 .764996E-02 1095 .658326E-03 1103 .752435E-02 1104 .732061E-03
1111 .753747E-02 1112 .892533E-03 1119 .808314E-02 1120 .113883E-02 1126 .877636E-02
1127 .142623E-02 1133 .913107E-02 1134 .166732E-02 1140 .995979E-02 1141 .202162E-02
1147 .105987E-01 1148 .235942E-02 1154 .108601E-01 1155 .263108E-02 1161 .171267E-01
1162 .461453E-02 1168 .239677E-01 1169 .733608E-02 1174 .257308E-01 1175 .923480E-02
1180 .283172E-01 1181 .116393E-01 1186 .308452E-01 1187 .139513E-01 1192 .350997E-01
1193 .170095E-01 1198 .616967E-01 1199 .321526E-01 1205 .940630E-01 1206 .523847E-01
1211 .118397E+00 1212 .700645E-01 1217 .155513E+00 1218 .911366E-01 1223 .205379E+00
1224 .114612E+00 1229 .264595E+00 1230 .135190E+00 1235 .319469E+00 1236 .148346E+00
1240 .405975E+00 1241 .167815E+00 1245 .490874E+00 1246 .177000E+00 1250 .584349E+00
1251 .185893E+00 1255 .669181E+00 1256 .192167E+00 1260 .760222E+00 1261 .197029E+00
1265 .887774E+00 1266 .207039E+00 1270 .102968E+01 1271 .211465E+00 1274 .118506E+01
1275 .209910E+00 1278 .135578E+01 1279 .204706E+00 1282 .158289E+01 1283 .198649E+00
1286 .178463E+01 1287 .180865E+00 1290 .199759E+01 1291 .157172E+00 1293 .230157E+01
1294 .133507E+00 1296 .242958E+01 1297 .102372E+00 1299 .263676E+01 1300 .744014E-01
1301 .168539E-01 1302 .582437E+01 1303 .507923E-01 1304 .104716E+02 1305 .359882E-02
1306 .132936E+02 1308 .159913E+02 1309 .201703E+02 1310 .253703E+02 1311 .107833E+03
    1   238  0.12000E+03 0.65181E+03 0.89153E+13 0.33031E+13 0.22899E+08
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -1 .163364E+03  450 .262823E-05  451 .657914E-05  453 .731084E-04  454 .151137E-03
 465 .510534E-03  476 .148787E-02  486 .429388E-04  487 .342397E-02  497 .309170E-03
 498 .222299E-02  508 .642617E-03  509 .133405E-02  519 .708421E-03  520 .122408E-02
 530 .545937E-03  531 .855479E-03  541 .668870E-03  542 .864593E-03  552 .942138E-03
 553 .999484E-03  563 .126970E-02  564 .107674E-02  574 .189990E-02  575 .122945E-02
 584 .283749E-02  585 .128857E-02  594 .355127E-02  595 .106035E-02  604 .442439E-02
 605 .813763E-03  614 .480786E-02  615 .578794E-03  624 .520028E-02  625 .444720E-03
 634 .475598E-02  635 .373900E-03  643 .504805E-02  644 .434002E-03  652 .496712E-02
 653 .482764E-03  660 .497441E-02  661 .588378E-03  668 .533577E-02  669 .750895E-03
 675 .579405E-02  676 .940551E-03  682 .602665E-02  683 .109923E-02  689 .657508E-02
 690 .133308E-02  696 .699479E-02  697 .155535E-02  703 .717175E-02  704 .173547E-02
 710 .113061E-01  711 .304245E-02  717 .158305E-01  718 .483857E-02  723 .169987E-01
 724 .609014E-02  729 .187134E-01  730 .767510E-02  735 .204009E-01  736 .920336E-02
 741 .232180E-01  742 .112169E-01  747 .408736E-01  748 .212106E-01  754 .624094E-01
 755 .345496E-01  760 .787356E-01  761 .462078E-01  766 .103567E+00  767 .600101E-01
 772 .137099E+00  773 .753529E-01  778 .176894E+00  779 .885915E-01  784 .214106E+00
 785 .969501E-01  789 .272713E+00  790 .109217E+00  794 .330097E+00  795 .114451E+00
 799 .395413E+00  800 .119652E+00  804 .454874E+00  805 .122317E+00  809 .519152E+00
 810 .123774E+00  814 .609939E+00  815 .128195E+00  819 .709778E+00  820 .127559E+00
 823 .820118E+00  824 .122168E+00  827 .948114E+00  828 .114211E+00  831 .111666E+01
 832 .102634E+00  834 .126930E+01  835 .821293E-01  837 .143247E+01  838 .563601E-01
 839 .993898E-04  840 .167927E+01  841 .266466E-01  842 .178566E+01  843 .265581E-02
 844 .192977E+01  846 .425744E+01  848 .759234E+01  850 .100979E+02  852 .124206E+02
 853 .172704E+02  854 .237326E+02  855 .101691E+03  896 .398262E-05  897 .996953E-05
 904 .110783E-03  905 .229022E-03  916 .773624E-03  927 .225461E-02  937 .650662E-04
 938 .518843E-02  948 .468493E-03  949 .336855E-02  959 .973773E-03  960 .202151E-02
 970 .107349E-02  971 .185488E-02  981 .827272E-03  982 .129633E-02  992 .101356E-02
 993 .131014E-02 1003 .142764E-02 1004 .151454E-02 1014 .192401E-02 1015 .163161E-02
1025 .287897E-02 1026 .186301E-02 1035 .429972E-02 1036 .195261E-02 1045 .538132E-02
1046 .160678E-02 1055 .670438E-02 1056 .123311E-02 1065 .728548E-02 1066 .877062E-03
1075 .788012E-02 1076 .673895E-03 1085 .720686E-02 1086 .566580E-03 1094 .764944E-02
1095 .657654E-03 1103 .752679E-02 1104 .731545E-03 1111 .753785E-02 1112 .891584E-03
1119 .808543E-02 1120 .113785E-02 1126 .877987E-02 1127 .142524E-02 1133 .913233E-02
1134 .166569E-02 1140 .996339E-02 1141 .202005E-02 1147 .105994E-01 1148 .235686E-02
1154 .108675E-01 1155 .262981E-02 1161 .171324E-01 1162 .461030E-02 1168 .239883E-01
1169 .733200E-02 1174 .257585E-01 1175 .922853E-02 1180 .283569E-01 1181 .116303E-01
1186 .309140E-01 1187 .139461E-01 1192 .351828E-01 1193 .169973E-01 1198 .619368E-01
1199 .321410E-01 1205 .945706E-01 1206 .523539E-01 1211 .119310E+00 1212 .700198E-01
1217 .156937E+00 1218 .909349E-01 1223 .207750E+00 1224 .114184E+00 1229 .268052E+00
1230 .134245E+00 1235 .324440E+00 1236 .146911E+00 1240 .413249E+00 1241 .165500E+00
1245 .500204E+00 1246 .173431E+00 1250 .599180E+00 1251 .181312E+00 1255 .689281E+00
1256 .185350E+00 1260 .786684E+00 1261 .187558E+00 1265 .924255E+00 1266 .194258E+00
1270 .107554E+01 1271 .193293E+00 1274 .124275E+01 1275 .185125E+00 1278 .143670E+01
1279 .173066E+00 1282 .169210E+01 1283 .155524E+00 1286 .192340E+01 1287 .124453E+00
1290 .217066E+01 1291 .854038E-01 1292 .150608E-03 1293 .254464E+01 1294 .403782E-01
1295 .161337E-01 1296 .268972E+01 1297 .402442E-02 1298 .691521E-01 1299 .285507E+01
1301 .353989E+00 1302 .609742E+01 1304 .115049E+02 1306 .153016E+02 1308 .188213E+02
1309 .261702E+02 1310 .359626E+02 1311 .154095E+03
    2   238  0.12000E+03 0.74096E+03 0.95510E+13 0.31356E+13 0.16271E+07
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -1 .134390E+01  450 .262823E-05  451 .657914E-05  453 .731084E-04  454 .151137E-03
 465 .510534E-03  476 .148787E-02  486 .429388E-04  487 .342397E-02  497 .309170E-03
 498 .222299E-02  508 .642610E-03  509 .133403E-02  519 .708428E-03  520 .122406E-02
 530 .545958E-03  531 .855468E-03  541 .668890E-03  542 .864564E-03  552 .942177E-03
 553 .999451E-03  563 .126978E-02  564 .107670E-02  574 .189994E-02  575 .122932E-02
 584 .283762E-02  585 .128842E-02  594 .355150E-02  595 .106017E-02  604 .442466E-02
 605 .813512E-03  614 .480787E-02  615 .578464E-03  624 .520043E-02  625 .444380E-03
 634 .475609E-02  635 .373509E-03  643 .504771E-02  644 .433559E-03  652 .496873E-02
 653 .482424E-03  660 .497466E-02  661 .587752E-03  668 .533728E-02  669 .750250E-03
 675 .579637E-02  676 .939900E-03  682 .602748E-02  683 .109816E-02  689 .657746E-02
 690 .133205E-02  696 .699522E-02  697 .155366E-02  703 .717668E-02  704 .173463E-02
 710 .113098E-01  711 .303965E-02  717 .158441E-01  718 .483587E-02  723 .170170E-01
 724 .608600E-02  729 .187411E-01  730 .766976E-02  735 .204434E-01  736 .919852E-02
 741 .232745E-01  742 .112095E-01  747 .410369E-01  748 .212051E-01  754 .627370E-01
 755 .345236E-01  760 .793465E-01  761 .461784E-01  766 .104514E+00  767 .598725E-01
 772 .138697E+00  773 .750694E-01  778 .179232E+00  779 .879638E-01  784 .217457E+00
 785 .959824E-01  789 .277365E+00  790 .107562E+00  794 .336579E+00  795 .112115E+00
 799 .405294E+00  800 .116453E+00  804 .468834E+00  805 .117679E+00  809 .537483E+00
 810 .117247E+00  814 .634193E+00  815 .119094E+00  819 .741409E+00  820 .114840E+00
 823 .861463E+00  824 .104940E+00  827 .100331E+01  828 .914554E-01  831 .119395E+01
 832 .714434E-01  834 .136868E+01  835 .409653E-01  836 .519753E-02  837 .154552E+01
 838 .869885E-02  839 .446547E-01  840 .177221E+01  841 .788699E-05  842 .191851E+01
 844 .208458E+01  846 .466478E+01  848 .832231E+01  850 .117193E+02  852 .150298E+02
 853 .237936E+02  854 .701324E+02  855 .142553E+03  896 .398262E-05  897 .996953E-05
 904 .110783E-03  905 .229022E-03  916 .773624E-03  927 .225461E-02  937 .650662E-04
 938 .518843E-02  948 .468493E-03  949 .336855E-02  959 .973763E-03  960 .202149E-02
 970 .107350E-02  971 .185484E-02  981 .827303E-03  982 .129631E-02  992 .101358E-02
 993 .131010E-02 1003 .142770E-02 1004 .151449E-02 1014 .192414E-02 1015 .163155E-02
1025 .287903E-02 1026 .186281E-02 1035 .429992E-02 1036 .195238E-02 1045 .538168E-02
1046 .160650E-02 1055 .670479E-02 1056 .123274E-02 1065 .728549E-02 1066 .876560E-03
1075 .788034E-02 1076 .673381E-03 1085 .720701E-02 1086 .565987E-03 1094 .764892E-02
1095 .656982E-03 1103 .752924E-02 1104 .731029E-03 1111 .753823E-02 1112 .890635E-03
1119 .808772E-02 1120 .113687E-02 1126 .878338E-02 1127 .142425E-02 1133 .913359E-02
1134 .166407E-02 1140 .996699E-02 1141 .201849E-02 1147 .106000E-01 1148 .235430E-02
1154 .108750E-01 1155 .262853E-02 1161 .171381E-01 1162 .460606E-02 1168 .240090E-01
1169 .732792E-02 1174 .257862E-01 1175 .922226E-02 1180 .283988E-01 1181 .116222E-01
1186 .309783E-01 1187 .139388E-01 1192 .352685E-01 1193 .169861E-01 1198 .621842E-01
1199 .321326E-01 1205 .950670E-01 1206 .523144E-01 1211 .120236E+00 1212 .699753E-01
1217 .158373E+00 1218 .907262E-01 1223 .210170E+00 1224 .113755E+00 1229 .271595E+00
1230 .133294E+00 1235 .329518E+00 1236 .145445E+00 1240 .420298E+00 1241 .162992E+00
1245 .510026E+00 1246 .169890E+00 1250 .614152E+00 1251 .176464E+00 1255 .710435E+00
1256 .178322E+00 1260 .814461E+00 1261 .177667E+00 1265 .961008E+00 1266 .180467E+00
1270 .112348E+01 1271 .174021E+00 1274 .130540E+01 1275 .159019E+00 1278 .152034E+01
1279 .138585E+00 1282 .180923E+01 1283 .108260E+00 1286 .207400E+01 1287 .620758E-01
1289 .787594E-02 1290 .234196E+01 1291 .131816E-01 1292 .676664E-01 1293 .268547E+01
1294 .119514E-04 1295 .147435E+00 1296 .275974E+01 1298 .241109E+00 1299 .291770E+01
1301 .826714E+00 1302 .624194E+01 1304 .126110E+02 1306 .177585E+02 1308 .227750E+02
1309 .360551E+02 1310 .106273E+03 1311 .216014E+03
    3   283  0.12000E+03 0.86234E+03 0.81936E+13 0.20151E+13 0.35980E+11
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -5 .162427E+02   -1 .156072E+02  450 .262823E-05  451 .657914E-05  453 .731084E-04
 454 .151137E-03  465 .510534E-03  476 .148787E-02  486 .429388E-04  487 .342397E-02
 497 .309170E-03  498 .222299E-02  508 .642604E-03  509 .133401E-02  519 .708436E-03
 520 .122403E-02  530 .545978E-03  531 .855458E-03  541 .668909E-03  542 .864535E-03
 552 .942216E-03  553 .999418E-03  563 .126987E-02  564 .107666E-02  574 .189997E-02
 575 .122919E-02  584 .283776E-02  585 .128828E-02  594 .355173E-02  595 .105999E-02
 604 .442493E-02  605 .813262E-03  614 .480788E-02  615 .578133E-03  624 .520058E-02
 625 .444041E-03  634 .475619E-02  635 .373118E-03  643 .504736E-02  644 .433115E-03
 652 .497034E-02  653 .482084E-03  660 .497491E-02  661 .587126E-03  668 .533879E-02
 669 .749605E-03  675 .579868E-02  676 .939249E-03  682 .602831E-02  683 .109708E-02
 689 .657984E-02  690 .133102E-02  696 .699565E-02  697 .155197E-02  703 .718161E-02
 704 .173379E-02  710 .113135E-01  711 .303686E-02  717 .158577E-01  718 .483318E-02
 719 .605001E+00  723 .170353E-01  724 .608185E-02  725 .103782E+01  729 .187688E-01
 730 .766442E-02  731 .494984E+00  735 .204859E-01  736 .919366E-02  737 .325864E+00
 741 .233312E-01  742 .112021E-01  743 .457744E+00  747 .412019E-01  748 .211999E-01
 749 .874318E+00  754 .630636E-01  755 .344953E-01  756 .198495E+01  760 .799625E-01
 761 .461474E-01  762 .189317E+01  766 .105469E+00  767 .597302E-01  768 .156085E+01
 772 .140365E+00  773 .748030E-01  774 .139020E+01  778 .181485E+00  779 .872655E-01
 780 .130828E+01  784 .220873E+00  785 .950014E-01  786 .120681E+01  789 .282267E+00
 790 .105929E+00  791 .114683E+01  794 .343203E+00  795 .109708E+00  796 .113979E+01
 799 .415358E+00  800 .113093E+00  801 .110072E+01  804 .482954E+00  805 .112755E+00
