Evolutionary tracks: tracksZ0.1.dat                                                                                                                                                                                                                                                                          
grid type                  : standard                      
Metallicity (mass fraction): .1000
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Salpeter.dat from   0.1000 to 120.0000 solar masses
  516  4422  3596  4047     9    10 0.1784E-01
    0   235  0.12000E+03 0.83832E+03 0.78860E+13 0.85645E+12 0.54838E+04
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
3613 .112994E-03 3614 .166878E-03 3623 .612154E-03 3630 .345465E-04 3631 .143471E-02
3632 .326709E-03 3640 .601544E-03 3641 .271933E-02 3642 .220986E-04 3650 .194526E-03
3651 .362464E-03 3662 .165639E-03 3663 .172099E-03 3673 .318323E-03 3674 .232453E-03
3684 .486467E-03 3685 .238382E-03 3695 .130160E-02 3696 .401303E-03 3706 .239684E-02
3707 .511771E-03 3716 .912737E-07 3717 .371527E-02 3718 .381247E-03 3727 .219328E-03
3728 .578149E-02 3729 .754786E-04 3738 .162778E-02 3739 .745044E-02 3749 .471282E-02
3750 .830913E-02 3760 .962332E-02 3761 .791470E-02 3771 .143867E-01 3772 .590519E-02
3781 .163904E-01 3782 .376484E-02 3791 .185014E-01 3792 .255326E-02 3801 .197791E-01
3802 .162064E-02 3811 .197123E-01 3812 .119543E-02 3820 .221265E-01 3821 .108725E-02
3829 .246400E-01 3830 .945411E-03 3838 .273369E-01 3839 .766915E-03 3847 .259044E-01
3848 .537446E-03 3856 .176260E-01 3857 .611083E-03 3864 .183382E-01 3865 .109646E-02
3872 .188116E-01 3873 .160179E-02 3880 .190911E-01 3881 .212019E-02 3887 .201970E-01
3888 .277555E-02 3894 .205167E-01 3895 .337221E-02 3901 .206000E-01 3902 .395084E-02
3908 .320159E-01 3909 .732344E-02 3915 .443514E-01 3916 .122668E-01 3921 .600912E-01
3922 .201241E-01 3927 .966696E-01 3928 .330896E-01 3933 .109748E+00 3934 .363937E-01
3939 .125134E+00 3940 .402160E-01 3945 .222639E+00 3946 .684665E-01 3951 .359636E+00
3952 .104607E+00 3957 .441312E+00 3958 .120367E+00 3963 .554475E+00 3964 .143528E+00
3969 .671094E+00 3970 .169052E+00 3974 .805129E+00 3975 .197760E+00 3979 .966422E+00
3980 .227272E+00 3984 .110586E+01 3985 .245658E+00 3989 .129205E+01 3990 .272774E+00
3994 .151743E+01 3995 .307249E+00 3999 .189101E+01 4000 .363211E+00 4004 .221471E+01
4005 .394088E+00 4008 .253040E+01 4009 .414987E+00 4012 .291459E+01 4013 .439252E+00
4016 .349051E+01 4017 .484429E+00 4020 .385494E+01 4021 .491167E+00 4024 .425520E+01
4025 .495678E+00 4027 .502282E+01 4028 .531037E+00 4030 .586655E+01 4031 .557231E+00
4033 .658399E+01 4034 .554053E+00 4036 .775227E+01 4037 .564688E+00 4039 .942881E+01
4041 .199362E+02 4043 .556029E+02 4045 .133170E+03 4046 .161797E+03 4047 .622932E+02
4057 .658479E-03 4058 .349785E-02 4068 .210397E-03 4069 .153641E-03 4079 .321532E-03
4080 .157560E-03 4090 .860299E-03 4091 .265243E-03 4101 .158420E-02 4102 .338257E-03
4111 .603277E-07 4112 .245562E-02 4113 .251986E-03 4122 .144966E-03 4123 .382130E-02
4124 .498879E-04 4133 .107589E-02 4134 .492440E-02 4144 .311496E-02 4145 .549195E-02
4155 .636057E-02 4156 .523125E-02 4165 .950891E-02 4166 .390306E-02 4175 .108333E-01
4176 .248838E-02 4185 .122286E-01 4186 .168759E-02 4195 .130731E-01 4196 .107117E-02
4205 .130289E-01 4206 .790127E-03 4215 .146246E-01 4216 .718625E-03 4224 .162859E-01
4225 .624873E-03 4233 .180684E-01 4234 .506896E-03 4242 .171216E-01 4243 .355227E-03
4251 .116500E-01 4252 .403898E-03 4259 .121207E-01 4260 .724708E-03 4267 .124336E-01
4268 .105871E-02 4274 .126183E-01 4275 .140135E-02 4281 .133493E-01 4282 .183451E-02
4288 .135606E-01 4289 .222888E-02 4295 .136157E-01 4296 .261132E-02 4302 .211611E-01
4303 .484046E-02 4308 .293143E-01 4309 .810778E-02 4314 .397175E-01 4315 .133011E-01
